series_id,year,period,value,footnote_codes,state_fips,county_fips,measure_code,county_name,date,metric,value_lag_1m,value_lag_1y,mom_change,yoy_change
LAUCN260930000000005,2026,M04,98018,P,26,093,05,Livingston,2026-04-01,employed_count,97288,97229,730,789
LAUCN260930000000006,2026,M04,101316,P,26,093,06,Livingston,2026-04-01,labor_force,101283,101052,33,264
LAUCN260930000000004,2026,M04,3298,P,26,093,04,Livingston,2026-04-01,unemployed_count,3995,3823,-697,-525
LAUCN260930000000003,2026,M04,3.3,P,26,093,03,Livingston,2026-04-01,unemployment_rate,3.9,3.8,-0.6,-0.5
LAUCN261250000000005,2026,M04,662245,P,26,125,05,Oakland,2026-04-01,employed_count,658119,656628,4126,5617
LAUCN261250000000006,2026,M04,686578,P,26,125,06,Oakland,2026-04-01,labor_force,686430,683657,148,2921
LAUCN261250000000004,2026,M04,24333,P,26,125,04,Oakland,2026-04-01,unemployed_count,28311,27029,-3978,-2696
LAUCN261250000000003,2026,M04,3.5,P,26,125,03,Oakland,2026-04-01,unemployment_rate,4.1,4,-0.6,-0.5
LAUCN261610000000005,2026,M04,187824,P,26,161,05,Washtenaw,2026-04-01,employed_count,192155,200980,-4331,-13156
LAUCN261610000000006,2026,M04,194589,P,26,161,06,Washtenaw,2026-04-01,labor_force,199600,210434,-5011,-15845
LAUCN261610000000004,2026,M04,6765,P,26,161,04,Washtenaw,2026-04-01,unemployed_count,7445,9454,-680,-2689
LAUCN261610000000003,2026,M04,3.5,P,26,161,03,Washtenaw,2026-04-01,unemployment_rate,3.7,4.5,-0.2,-1
