county_name,date,employed_count,labor_force,unemployed_count,unemployment_rate
Livingston,1990-01-01,57760,61308,3548,5.8
Livingston,1990-02-01,58606,62186,3580,5.8
Livingston,1990-03-01,58759,62447,3688,5.9
Livingston,1990-04-01,57940,61341,3401,5.5
Livingston,1990-05-01,57835,60997,3162,5.2
Livingston,1990-06-01,57933,61278,3345,5.5
Livingston,1990-07-01,56407,60059,3652,6.1
Livingston,1990-08-01,56291,59918,3627,6.1
Livingston,1990-09-01,58326,61855,3529,5.7
Livingston,1990-10-01,58509,62126,3617,5.8
Livingston,1990-11-01,58939,62193,3254,5.2
Livingston,1990-12-01,58862,62873,4011,6.4
Livingston,1991-01-01,58272,62709,4437,7.1
Livingston,1991-02-01,59108,63934,4826,7.5
Livingston,1991-03-01,59328,64237,4909,7.6
Livingston,1991-04-01,58362,62709,4347,6.9
Livingston,1991-05-01,57796,62346,4550,7.3
Livingston,1991-06-01,57980,62782,4802,7.6
Livingston,1991-07-01,57740,62268,4528,7.3
Livingston,1991-08-01,57357,61838,4481,7.2
Livingston,1991-09-01,59162,63447,4285,6.8
Livingston,1991-10-01,60363,64891,4528,7
Livingston,1991-11-01,60034,64889,4855,7.5
Livingston,1991-12-01,59589,64238,4649,7.2
Livingston,1992-01-01,62132,67394,5262,7.8
Livingston,1992-02-01,62616,68067,5451,8
Livingston,1992-03-01,62819,68201,5382,7.9
Livingston,1992-04-01,62659,67241,4582,6.8
Livingston,1992-05-01,62074,66425,4351,6.6
Livingston,1992-06-01,62562,66955,4393,6.6
Livingston,1992-07-01,62869,66766,3897,5.8
Livingston,1992-08-01,62624,66529,3905,5.9
Livingston,1992-09-01,62443,65932,3489,5.3
Livingston,1992-10-01,63612,66786,3174,4.8
Livingston,1992-11-01,64836,67879,3043,4.5
Livingston,1992-12-01,64749,67954,3205,4.7
Livingston,1993-01-01,63477,67156,3679,5.5
Livingston,1993-02-01,64391,67970,3579,5.3
Livingston,1993-03-01,64039,67311,3272,4.9
Livingston,1993-04-01,64473,67400,2927,4.3
Livingston,1993-05-01,63591,66295,2704,4.1
Livingston,1993-06-01,64251,66981,2730,4.1
Livingston,1993-07-01,64046,66844,2798,4.2
Livingston,1993-08-01,63780,66408,2628,4
Livingston,1993-09-01,64225,66798,2573,3.9
Livingston,1993-10-01,65690,68353,2663,3.9
Livingston,1993-11-01,65503,68306,2803,4.1
Livingston,1993-12-01,65249,68157,2908,4.3
Livingston,1994-01-01,65565,69687,4122,5.9
Livingston,1994-02-01,66244,70307,4063,5.8
Livingston,1994-03-01,65759,69483,3724,5.4
Livingston,1994-04-01,65909,68550,2641,3.9
Livingston,1994-05-01,65261,67494,2233,3.3
Livingston,1994-06-01,65724,68126,2402,3.5
Livingston,1994-07-01,65660,68167,2507,3.7
Livingston,1994-08-01,65707,68119,2412,3.5
Livingston,1994-09-01,66571,68705,2134,3.1
Livingston,1994-10-01,67998,69922,1924,2.8
Livingston,1994-11-01,67834,69525,1691,2.4
Livingston,1994-12-01,67849,69605,1756,2.5
Livingston,1995-01-01,66767,69573,2806,4
Livingston,1995-02-01,67806,70567,2761,3.9
Livingston,1995-03-01,67961,70947,2986,4.2
Livingston,1995-04-01,67681,70135,2454,3.5
Livingston,1995-05-01,66570,68812,2242,3.3
Livingston,1995-06-01,67307,70488,3181,4.5
Livingston,1995-07-01,68579,71214,2635,3.7
Livingston,1995-08-01,67812,70064,2252,3.2
Livingston,1995-09-01,68480,70362,1882,2.7
Livingston,1995-10-01,69427,71076,1649,2.3
Livingston,1995-11-01,68851,71237,2386,3.3
Livingston,1995-12-01,68925,71079,2154,3
Livingston,1996-01-01,68159,71027,2868,4
Livingston,1996-02-01,70362,73590,3228,4.4
Livingston,1996-03-01,71548,74421,2873,3.9
Livingston,1996-04-01,70489,72694,2205,3
Livingston,1996-05-01,69631,71585,1954,2.7
Livingston,1996-06-01,70590,72706,2116,2.9
Livingston,1996-07-01,70977,73620,2643,3.6
Livingston,1996-08-01,70339,72987,2648,3.6
Livingston,1996-09-01,70813,73101,2288,3.1
Livingston,1996-10-01,71577,73859,2282,3.1
Livingston,1996-11-01,71554,73592,2038,2.8
Livingston,1996-12-01,71358,73525,2167,2.9
Livingston,1997-01-01,70453,73995,3542,4.8
Livingston,1997-02-01,71111,74179,3068,4.1
Livingston,1997-03-01,71451,74482,3031,4.1
Livingston,1997-04-01,71420,73675,2255,3.1
Livingston,1997-05-01,71227,72708,1481,2
Livingston,1997-06-01,71686,73384,1698,2.3
Livingston,1997-07-01,72362,74455,2093,2.8
Livingston,1997-08-01,72400,74484,2084,2.8
Livingston,1997-09-01,73392,75220,1828,2.4
Livingston,1997-10-01,73849,75531,1682,2.2
Livingston,1997-11-01,74442,76095,1653,2.2
Livingston,1997-12-01,74136,75916,1780,2.3
Livingston,1998-01-01,73458,76002,2544,3.3
Livingston,1998-02-01,74356,76722,2366,3.1
Livingston,1998-03-01,74906,77366,2460,3.2
Livingston,1998-04-01,74710,76297,1587,2.1
Livingston,1998-05-01,74577,76145,1568,2.1
Livingston,1998-06-01,74741,76363,1622,2.1
Livingston,1998-07-01,73343,76583,3240,4.2
Livingston,1998-08-01,75494,77382,1888,2.4
Livingston,1998-09-01,76239,77983,1744,2.2
Livingston,1998-10-01,77225,78982,1757,2.2
Livingston,1998-11-01,77499,79195,1696,2.1
Livingston,1998-12-01,77427,79504,2077,2.6
Livingston,1999-01-01,77086,80161,3075,3.8
Livingston,1999-02-01,78060,81100,3040,3.7
Livingston,1999-03-01,78726,81411,2685,3.3
Livingston,1999-04-01,78936,80634,1698,2.1
Livingston,1999-05-01,78881,80300,1419,1.8
Livingston,1999-06-01,79031,80595,1564,1.9
Livingston,1999-07-01,79925,81724,1799,2.2
Livingston,1999-08-01,78957,80516,1559,1.9
Livingston,1999-09-01,78776,80386,1610,2
Livingston,1999-10-01,80258,82060,1802,2.2
Livingston,1999-11-01,80294,82019,1725,2.1
Livingston,1999-12-01,80120,81835,1715,2.1
Livingston,2000-01-01,87728,90288,2560,2.8
Livingston,2000-02-01,87640,89855,2215,2.5
Livingston,2000-03-01,87578,90032,2454,2.7
Livingston,2000-04-01,87477,89222,1745,2
Livingston,2000-05-01,87334,89362,2028,2.3
Livingston,2000-06-01,88502,90868,2366,2.6
Livingston,2000-07-01,88240,90657,2417,2.7
Livingston,2000-08-01,88480,90731,2251,2.5
Livingston,2000-09-01,87375,89473,2098,2.3
Livingston,2000-10-01,87185,89247,2062,2.3
Livingston,2000-11-01,86788,88756,1968,2.2
Livingston,2000-12-01,86831,88900,2069,2.3
Livingston,2001-01-01,87267,90181,2914,3.2
Livingston,2001-02-01,87252,90300,3048,3.4
Livingston,2001-03-01,87314,90451,3137,3.5
Livingston,2001-04-01,86083,88557,2474,2.8
Livingston,2001-05-01,86162,88919,2757,3.1
Livingston,2001-06-01,86696,89625,2929,3.3
Livingston,2001-07-01,87037,90023,2986,3.3
Livingston,2001-08-01,86485,89809,3324,3.7
Livingston,2001-09-01,86091,89337,3246,3.6
Livingston,2001-10-01,85937,89420,3483,3.9
Livingston,2001-11-01,85365,88950,3585,4
Livingston,2001-12-01,85440,89280,3840,4.3
Livingston,2002-01-01,85500,90160,4660,5.2
Livingston,2002-02-01,85932,90180,4248,4.7
Livingston,2002-03-01,85703,90181,4478,5
Livingston,2002-04-01,85681,89577,3896,4.3
Livingston,2002-05-01,86208,90137,3929,4.4
Livingston,2002-06-01,86518,90943,4425,4.9
Livingston,2002-07-01,86709,91048,4339,4.8
Livingston,2002-08-01,87475,91060,3585,3.9
Livingston,2002-09-01,87497,90788,3291,3.6
Livingston,2002-10-01,87557,90822,3265,3.6
Livingston,2002-11-01,86842,90464,3622,4
Livingston,2002-12-01,86531,90435,3904,4.3
Livingston,2003-01-01,86694,91766,5072,5.5
Livingston,2003-02-01,87072,92127,5055,5.5
Livingston,2003-03-01,87006,92193,5187,5.6
Livingston,2003-04-01,86589,90894,4305,4.7
Livingston,2003-05-01,86711,91377,4666,5.1
Livingston,2003-06-01,87367,92793,5426,5.8
Livingston,2003-07-01,87268,92205,4937,5.4
Livingston,2003-08-01,87353,91912,4559,5
Livingston,2003-09-01,86883,91176,4293,4.7
Livingston,2003-10-01,87315,91484,4169,4.6
Livingston,2003-11-01,87328,91134,3806,4.2
Livingston,2003-12-01,86954,90841,3887,4.3
Livingston,2004-01-01,87255,91812,4557,5
Livingston,2004-02-01,87616,92223,4607,5
Livingston,2004-03-01,87512,92489,4977,5.4
Livingston,2004-04-01,87171,91110,3939,4.3
Livingston,2004-05-01,87690,91955,4265,4.6
Livingston,2004-06-01,88217,93124,4907,5.3
Livingston,2004-07-01,88802,93414,4612,4.9
Livingston,2004-08-01,89090,93613,4523,4.8
Livingston,2004-09-01,88416,93075,4659,5
Livingston,2004-10-01,89245,93837,4592,4.9
Livingston,2004-11-01,88667,93361,4694,5
Livingston,2004-12-01,88396,93409,5013,5.4
Livingston,2005-01-01,87854,93362,5508,5.9
Livingston,2005-02-01,87915,93784,5869,6.3
Livingston,2005-03-01,88159,93575,5416,5.8
Livingston,2005-04-01,88474,93494,5020,5.4
Livingston,2005-05-01,89417,94230,4813,5.1
Livingston,2005-06-01,90137,95316,5179,5.4
Livingston,2005-07-01,90857,95631,4774,5
Livingston,2005-08-01,91492,95811,4319,4.5
Livingston,2005-09-01,90591,95157,4566,4.8
Livingston,2005-10-01,90449,94570,4121,4.4
Livingston,2005-11-01,89734,94493,4759,5
Livingston,2005-12-01,89376,94171,4795,5.1
Livingston,2006-01-01,88381,93579,5198,5.6
Livingston,2006-02-01,88424,93625,5201,5.6
Livingston,2006-03-01,88914,94195,5281,5.6
Livingston,2006-04-01,88710,93220,4510,4.8
Livingston,2006-05-01,89489,93678,4189,4.5
Livingston,2006-06-01,89958,94795,4837,5.1
Livingston,2006-07-01,90211,95149,4938,5.2
Livingston,2006-08-01,90646,95427,4781,5
Livingston,2006-09-01,90058,95040,4982,5.2
