region_name,date,total_nonfarm_payroll
Detroit MSA,1958-01-01,40.2
Detroit MSA,1958-02-01,39.5
Detroit MSA,1958-03-01,39.1
Detroit MSA,1958-04-01,38.3
Detroit MSA,1958-05-01,38.8
Detroit MSA,1958-06-01,39.6
Detroit MSA,1958-07-01,40.5
Detroit MSA,1958-08-01,41.2
Detroit MSA,1958-09-01,43
Detroit MSA,1958-10-01,42.6
Detroit MSA,1958-11-01,42.6
Detroit MSA,1958-12-01,42.7
Detroit MSA,1959-01-01,41.6
Detroit MSA,1959-02-01,41.6
Detroit MSA,1959-03-01,42.4
Detroit MSA,1959-04-01,43.3
Detroit MSA,1959-05-01,44.1
Detroit MSA,1959-06-01,44.9
Detroit MSA,1959-07-01,46.3
Detroit MSA,1959-08-01,46
Detroit MSA,1959-09-01,47.4
Detroit MSA,1959-10-01,46.2
Detroit MSA,1959-11-01,45.5
Detroit MSA,1959-12-01,45.3
Detroit MSA,1960-01-01,44.2
Detroit MSA,1960-02-01,44.2
Detroit MSA,1960-03-01,44.1
Detroit MSA,1960-04-01,44.2
Detroit MSA,1960-05-01,44.6
Detroit MSA,1960-06-01,45.1
Detroit MSA,1960-07-01,46.1
Detroit MSA,1960-08-01,45.7
Detroit MSA,1960-09-01,46.7
Detroit MSA,1960-10-01,45.7
Detroit MSA,1960-11-01,44.9
Detroit MSA,1960-12-01,43.9
Detroit MSA,1961-01-01,42.5
Detroit MSA,1961-02-01,41.9
Detroit MSA,1961-03-01,42.1
Detroit MSA,1961-04-01,43
Detroit MSA,1961-05-01,43.9
Detroit MSA,1961-06-01,44.5
Detroit MSA,1961-07-01,44.8
Detroit MSA,1961-08-01,45.8
Detroit MSA,1961-09-01,46.4
Detroit MSA,1961-10-01,46.2
Detroit MSA,1961-11-01,45.1
Detroit MSA,1961-12-01,44
Detroit MSA,1962-01-01,42.5
Detroit MSA,1962-02-01,42.5
Detroit MSA,1962-03-01,42.8
Detroit MSA,1962-04-01,43.8
Detroit MSA,1962-05-01,45.4
Detroit MSA,1962-06-01,46.8
Detroit MSA,1962-07-01,47.7
Detroit MSA,1962-08-01,46.9
Detroit MSA,1962-09-01,47.9
Detroit MSA,1962-10-01,47.2
Detroit MSA,1962-11-01,46.6
Detroit MSA,1962-12-01,46.3
Detroit MSA,1963-01-01,45
Detroit MSA,1963-02-01,44.7
Detroit MSA,1963-03-01,44.3
Detroit MSA,1963-04-01,45.6
Detroit MSA,1963-05-01,46.4
Detroit MSA,1963-06-01,47.3
Detroit MSA,1963-07-01,47.8
Detroit MSA,1963-08-01,48.7
Detroit MSA,1963-09-01,49.6
Detroit MSA,1963-10-01,48.8
Detroit MSA,1963-11-01,47.7
Detroit MSA,1963-12-01,47.6
Detroit MSA,1964-01-01,45.8
Detroit MSA,1964-02-01,45.5
Detroit MSA,1964-03-01,45.7
Detroit MSA,1964-04-01,46.2
Detroit MSA,1964-05-01,47.2
Detroit MSA,1964-06-01,47.9
Detroit MSA,1964-07-01,48.9
Detroit MSA,1964-08-01,48.6
Detroit MSA,1964-09-01,49.9
Detroit MSA,1964-10-01,48.9
Detroit MSA,1964-11-01,48.8
Detroit MSA,1964-12-01,48.6
Detroit MSA,1965-01-01,46.4
Detroit MSA,1965-02-01,47.6
Detroit MSA,1965-03-01,45.7
Detroit MSA,1965-04-01,46.8
Detroit MSA,1965-05-01,49.7
Detroit MSA,1965-06-01,50.9
Detroit MSA,1965-07-01,51.7
Detroit MSA,1965-08-01,51.7
Detroit MSA,1965-09-01,52.7
Detroit MSA,1965-10-01,52.4
Detroit MSA,1965-11-01,52.3
Detroit MSA,1965-12-01,51.9
Detroit MSA,1966-01-01,50.7
Detroit MSA,1966-02-01,50.7
Detroit MSA,1966-03-01,50.9
Detroit MSA,1966-04-01,52.2
Detroit MSA,1966-05-01,53
Detroit MSA,1966-06-01,53.9
Detroit MSA,1966-07-01,54.2
Detroit MSA,1966-08-01,54.4
Detroit MSA,1966-09-01,54.4
Detroit MSA,1966-10-01,53.8
Detroit MSA,1966-11-01,54
Detroit MSA,1966-12-01,54.3
Detroit MSA,1967-01-01,53.2
Detroit MSA,1967-02-01,53.1
Detroit MSA,1967-03-01,53
Detroit MSA,1967-04-01,53.3
Detroit MSA,1967-05-01,52.1
Detroit MSA,1967-06-01,53
Detroit MSA,1967-07-01,52.7
Detroit MSA,1967-08-01,55
Detroit MSA,1967-09-01,55.7
Detroit MSA,1967-10-01,55.1
Detroit MSA,1967-11-01,55.2
Detroit MSA,1967-12-01,55.7
Detroit MSA,1968-01-01,56.9
Detroit MSA,1968-02-01,52
Detroit MSA,1968-03-01,53.8
Detroit MSA,1968-04-01,54.5
Detroit MSA,1968-05-01,55.2
Detroit MSA,1968-06-01,55.9
Detroit MSA,1968-07-01,56
Detroit MSA,1968-08-01,57.2
Detroit MSA,1968-09-01,57.5
Detroit MSA,1968-10-01,56.9
Detroit MSA,1968-11-01,57.1
Detroit MSA,1968-12-01,57.4
Detroit MSA,1969-01-01,56.1
Detroit MSA,1969-02-01,56.7
Detroit MSA,1969-03-01,57.1
Detroit MSA,1969-04-01,58
Detroit MSA,1969-05-01,58.9
Detroit MSA,1969-06-01,60.5
Detroit MSA,1969-07-01,60.4
Detroit MSA,1969-08-01,61.8
Detroit MSA,1969-09-01,62.1
Detroit MSA,1969-10-01,61.7
Detroit MSA,1969-11-01,61.4
Detroit MSA,1969-12-01,61.8
Detroit MSA,1970-01-01,60.4
Detroit MSA,1970-02-01,60
Detroit MSA,1970-03-01,60.4
Detroit MSA,1970-04-01,60.4
Detroit MSA,1970-05-01,58.7
Detroit MSA,1970-06-01,60
Detroit MSA,1970-07-01,59.5
Detroit MSA,1970-08-01,59.3
Detroit MSA,1970-09-01,59.4
Detroit MSA,1970-10-01,61
Detroit MSA,1970-11-01,60.1
Detroit MSA,1970-12-01,60.4
Detroit MSA,1971-01-01,58.6
Detroit MSA,1971-02-01,58.7
Detroit MSA,1971-03-01,59.3
Detroit MSA,1971-04-01,60.7
Detroit MSA,1971-05-01,59.5
Detroit MSA,1971-06-01,60.5
Detroit MSA,1971-07-01,60.1
Detroit MSA,1971-08-01,60.2
Detroit MSA,1971-09-01,60.9
Detroit MSA,1971-10-01,62.7
Detroit MSA,1971-11-01,61.9
Detroit MSA,1971-12-01,61.7
Detroit MSA,1972-01-01,60.9
